CLASS,K3D,Ishape,Slight,Moderate,Extensive,Complete,A,B
HWB1,EQ1,0.0,0.4,0.5,0.7,0.9,0.25,1
HWB2,EQ1,0.0,0.6,0.9,1.1,1.7,0.25,1
HWB3,EQ1,1.0,0.8,1.0,1.2,1.7,0.25,1
HWB4,EQ1,1.0,0.8,1.0,1.2,1.7,0.25,1
HWB5,EQ1,0.0,0.25,0.35,0.45,0.7,0.25,1
HWB6,EQ1,0.0,0.3,0.5,0.6,0.9,0.25,1
HWB7,EQ1,0.0,0.5,0.8,1.1,1.7,0.25,1
HWB8,EQ2,0.0,0.35,0.45,0.55,0.8,0.33,0
HWB9,EQ3,0.0,0.6,0.9,1.3,1.6,0.33,1
HWB10,EQ2,1.0,0.6,0.9,1.1,1.5,0.33,0
HWB11,EQ3,1.0,0.9,0.9,1.1,1.5,0.33,1
HWB12,EQ4,0.0,0.25,0.35,0.45,0.7,0.09,1
HWB13,EQ4,0.0,0.3,0.5,0.6,0.9,0.09,1
HWB14,EQ1,0.0,0.5,0.8,1.1,1.7,0.25,1
HWB15,EQ5,1.0,0.75,0.75,0.75,1.1,0.05,0
HWB16,EQ3,1.0,0.9,0.9,1.1,1.5,0.33,1
HWB17,EQ1,0.0,0.25,0.35,0.45,0.7,0.25,1
HWB18,EQ1,0.0,0.3,0.5,0.6,0.9,0.25,1
HWB19,EQ1,0.0,0.5,0.8,1.1,1.7,0.25,1
HWB20,EQ2,0.0,0.35,0.45,0.55,0.8,0.33,0
HWB21,EQ3,0.0,0.6,0.9,1.3,1.6,0.33,1
HWB22,EQ2,1.0,0.6,0.9,1.1,1.5,0.33,0
HWB23,EQ3,1.0,0.9,0.9,1.1,1.5,0.33,1
HWB24,EQ6,0.0,0.25,0.35,0.45,0.7,0.2,1
HWB25,EQ6,0.0,0.3,0.5,0.6,0.9,0.2,1
HWB26,EQ7,1.0,0.75,0.75,0.75,1.1,0.1,0
HWB27,EQ7,1.0,0.75,0.75,0.75,1.1,0.1,0
HWB28,EQ1,0.0,0.8,1.0,1.2,1.7,0.25,1
RLB1,EQ4,0.0,0.25,0.35,0.45,0.7,0.09,1
RLB4,EQ5,1.0,0.75,0.75,0.75,1.1,0.05,0
RLB10,EQ4,0.0,0.25,0.35,0.45,0.7,0.09,1
TIMBER,EQ1,0.0,0.38,0.44,0.49,0.58,0.25,1
